pruid,prname,date,numtotal_all_distributed,numtotal_pfizerbiontech_distributed,numtotal_pfizerbiontech_5_11_distributed,numtotal_moderna_distributed,numtotal_astrazeneca_distributed,numtotal_janssen_distributed,numtotal_novavax_distributed,as_of_date,updated,numdelta_all_distributed,numdelta_pfizerbiontech_distributed,numdelta_pfizerbiontech_5_11_distributed,numdelta_moderna_distributed,numdelta_astrazeneca_distributed,numdelta_janssen_distributed,numdelta_novavax_distributed
1,Canada,2021-01-02,424150,255450,0,168700,0,0,0,2020-12-31,1,,,,,,,
35,Ontario,2021-01-02,148350,95550,0,52800,0,0,0,2020-12-31,1,,,,,,,
59,British Columbia,2021-01-02,54625,34125,0,20500,0,0,0,2020-12-31,1,,,,,,,
48,Alberta,2021-01-02,46150,29250,0,16900,0,0,0,2020-12-31,1,,,,,,,
47,Saskatchewan,2021-01-02,13675,8775,0,4900,0,0,0,2020-12-31,1,,,,,,,
12,Nova Scotia,2021-01-02,9550,5850,0,3700,0,0,0,2020-12-31,1,,,,,,,
46,Manitoba,2021-01-02,19975,12675,0,7300,0,0,0,2020-12-31,1,,,,,,,
13,New Brunswick,2021-01-02,8250,5850,0,2400,0,0,0,2020-12-31,1,,,,,,,
10,Newfoundland and Labrador,2021-01-02,6300,3900,0,2400,0,0,0,2020-12-31,1,,,,,,,
11,Prince Edward Island,2021-01-02,5100,3900,0,1200,0,0,0,2020-12-31,1,,,,,,,
61,Northwest Territories,2021-01-02,7200,0,0,7200,0,0,0,2020-12-31,1,,,,,,,
62,Nunavut,2021-01-02,6000,0,0,6000,0,0,0,2020-12-31,1,,,,,,,
24,Quebec,2021-01-02,88075,55575,0,32500,0,0,0,2020-12-31,1,,,,,,,
60,Yukon,2021-01-02,7200,0,0,7200,0,0,0,2020-12-31,1,,,,,,,
90,Federal allocation,2021-01-02,3700,0,0,3700,0,0,0,2020-12-31,1,,,,,,,
1,Canada,2021-01-03,424150,255450,0,168700,0,0,0,2020-12-31,0,,,,,,,
35,Ontario,2021-01-03,148350,95550,0,52800,0,0,0,2020-12-31,0,,,,,,,
59,British Columbia,2021-01-03,54625,34125,0,20500,0,0,0,2020-12-31,0,,,,,,,
48,Alberta,2021-01-03,46150,29250,0,16900,0,0,0,2020-12-31,0,,,,,,,
47,Saskatchewan,2021-01-03,13675,8775,0,4900,0,0,0,2020-12-31,0,,,,,,,
12,Nova Scotia,2021-01-03,9550,5850,0,3700,0,0,0,2020-12-31,0,,,,,,,
46,Manitoba,2021-01-03,19975,12675,0,7300,0,0,0,2020-12-31,0,,,,,,,
13,New Brunswick,2021-01-03,8250,5850,0,2400,0,0,0,2020-12-31,0,,,,,,,
10,Newfoundland and Labrador,2021-01-03,6300,3900,0,2400,0,0,0,2020-12-31,0,,,,,,,
11,Prince Edward Island,2021-01-03,5100,3900,0,1200,0,0,0,2020-12-31,0,,,,,,,
61,Northwest Territories,2021-01-03,7200,0,0,7200,0,0,0,2020-12-31,0,,,,,,,
62,Nunavut,2021-01-03,6000,0,0,6000,0,0,0,2020-12-31,0,,,,,,,
24,Quebec,2021-01-03,88075,55575,0,32500,0,0,0,2020-12-31,0,,,,,,,
60,Yukon,2021-01-03,7200,0,0,7200,0,0,0,2020-12-31,0,,,,,,,
90,Federal allocation,2021-01-03,3700,0,0,3700,0,0,0,2020-12-31,0,,,,,,,
1,Canada,2021-01-04,424150,255450,0,168700,0,0,0,2020-12-31,0,,,,,,,
35,Ontario,2021-01-04,148350,95550,0,52800,0,0,0,2020-12-31,0,,,,,,,
59,British Columbia,2021-01-04,54625,34125,0,20500,0,0,0,2020-12-31,0,,,,,,,
48,Alberta,2021-01-04,46150,29250,0,16900,0,0,0,2020-12-31,0,,,,,,,
47,Saskatchewan,2021-01-04,13675,8775,0,4900,0,0,0,2020-12-31,0,,,,,,,
12,Nova Scotia,2021-01-04,9550,5850,0,3700,0,0,0,2020-12-31,0,,,,,,,
46,Manitoba,2021-01-04,19975,12675,0,7300,0,0,0,2020-12-31,0,,,,,,,
13,New Brunswick,2021-01-04,8250,5850,0,2400,0,0,0,2020-12-31,0,,,,,,,
10,Newfoundland and Labrador,2021-01-04,6300,3900,0,2400,0,0,0,2020-12-31,0,,,,,,,
11,Prince Edward Island,2021-01-04,5100,3900,0,1200,0,0,0,2020-12-31,0,,,,,,,
61,Northwest Territories,2021-01-04,7200,0,0,7200,0,0,0,2020-12-31,0,,,,,,,
62,Nunavut,2021-01-04,6000,0,0,6000,0,0,0,2020-12-31,0,,,,,,,
24,Quebec,2021-01-04,88075,55575,0,32500,0,0,0,2020-12-31,0,,,,,,,
60,Yukon,2021-01-04,7200,0,0,7200,0,0,0,2020-12-31,0,,,,,,,
90,Federal allocation,2021-01-04,3700,0,0,3700,0,0,0,2020-12-31,0,,,,,,,
1,Canada,2021-01-05,424150,255450,0,168700,0,0,0,2020-12-31,0,,,,,,,
35,Ontario,2021-01-05,148350,95550,0,52800,0,0,0,2020-12-31,0,,,,,,,
59,British Columbia,2021-01-05,54625,34125,0,20500,0,0,0,2020-12-31,0,,,,,,,
48,Alberta,2021-01-05,46150,29250,0,16900,0,0,0,2020-12-31,0,,,,,,,
47,Saskatchewan,2021-01-05,13675,8775,0,4900,0,0,0,2020-12-31,0,,,,,,,
12,Nova Scotia,2021-01-05,9550,5850,0,3700,0,0,0,2020-12-31,0,,,,,,,
46,Manitoba,2021-01-05,19975,12675,0,7300,0,0,0,2020-12-31,0,,,,,,,
13,New Brunswick,2021-01-05,8250,5850,0,2400,0,0,0,2020-12-31,0,,,,,,,
10,Newfoundland and Labrador,2021-01-05,6300,3900,0,2400,0,0,0,2020-12-31,0,,,,,,,
11,Prince Edward Island,2021-01-05,5100,3900,0,1200,0,0,0,2020-12-31,0,,,,,,,
61,Northwest Territories,2021-01-05,7200,0,0,7200,0,0,0,2020-12-31,0,,,,,,,
62,Nunavut,2021-01-05,6000,0,0,6000,0,0,0,2020-12-31,0,,,,,,,
24,Quebec,2021-01-05,88075,55575,0,32500,0,0,0,2020-12-31,0,,,,,,,
60,Yukon,2021-01-05,7200,0,0,7200,0,0,0,2020-12-31,0,,,,,,,
90,Federal allocation,2021-01-05,3700,0,0,3700,0,0,0,2020-12-31,0,,,,,,,
1,Canada,2021-01-06,424150,255450,0,168700,0,0,0,2020-12-31,0,,,,,,,
35,Ontario,2021-01-06,148350,95550,0,52800,0,0,0,2020-12-31,0,,,,,,,
59,British Columbia,2021-01-06,54625,34125,0,20500,0,0,0,2020-12-31,0,,,,,,,
48,Alberta,2021-01-06,46150,29250,0,16900,0,0,0,2020-12-31,0,,,,,,,
47,Saskatchewan,2021-01-06,13675,8775,0,4900,0,0,0,2020-12-31,0,,,,,,,
12,Nova Scotia,2021-01-06,9550,5850,0,3700,0,0,0,2020-12-31,0,,,,,,,
46,Manitoba,2021-01-06,19975,12675,0,7300,0,0,0,2020-12-31,0,,,,,,,
13,New Brunswick,2021-01-06,8250,5850,0,2400,0,0,0,2020-12-31,0,,,,,,,
10,Newfoundland and Labrador,2021-01-06,6300,3900,0,2400,0,0,0,2020-12-31,0,,,,,,,
11,Prince Edward Island,2021-01-06,5100,3900,0,1200,0,0,0,2020-12-31,0,,,,,,,
61,Northwest Territories,2021-01-06,7200,0,0,7200,0,0,0,2020-12-31,0,,,,,,,
62,Nunavut,2021-01-06,6000,0,0,6000,0,0,0,2020-12-31,0,,,,,,,
24,Quebec,2021-01-06,88075,55575,0,32500,0,0,0,2020-12-31,0,,,,,,,
60,Yukon,2021-01-06,7200,0,0,7200,0,0,0,2020-12-31,0,,,,,,,
90,Federal allocation,2021-01-06,3700,0,0,3700,0,0,0,2020-12-31,0,,,,,,,
1,Canada,2021-01-07,424150,255450,0,168700,0,0,0,2020-12-31,0,,,,,,,
35,Ontario,2021-01-07,148350,95550,0,52800,0,0,0,2020-12-31,0,,,,,,,
59,British Columbia,2021-01-07,54625,34125,0,20500,0,0,0,2020-12-31,0,,,,,,,
48,Alberta,2021-01-07,46150,29250,0,16900,0,0,0,2020-12-31,0,,,,,,,
47,Saskatchewan,2021-01-07,13675,8775,0,4900,0,0,0,2020-12-31,0,,,,,,,
12,Nova Scotia,2021-01-07,9550,5850,0,3700,0,0,0,2020-12-31,0,,,,,,,
46,Manitoba,2021-01-07,19975,12675,0,7300,0,0,0,2020-12-31,0,,,,,,,
13,New Brunswick,2021-01-07,8250,5850,0,2400,0,0,0,2020-12-31,0,,,,,,,
10,Newfoundland and Labrador,2021-01-07,6300,3900,0,2400,0,0,0,2020-12-31,0,,,,,,,
11,Prince Edward Island,2021-01-07,5100,3900,0,1200,0,0,0,2020-12-31,0,,,,,,,
61,Northwest Territories,2021-01-07,7200,0,0,7200,0,0,0,2020-12-31,0,,,,,,,
62,Nunavut,2021-01-07,6000,0,0,6000,0,0,0,2020-12-31,0,,,,,,,
24,Quebec,2021-01-07,88075,55575,0,32500,0,0,0,2020-12-31,0,,,,,,,
60,Yukon,2021-01-07,7200,0,0,7200,0,0,0,2020-12-31,0,,,,,,,
90,Federal allocation,2021-01-07,3700,0,0,3700,0,0,0,2020-12-31,0,,,,,,,
1,Canada,2021-01-08,548950,380250,0,168700,0,0,0,2021-01-07,1,124800,124800,,,,,
35,Ontario,2021-01-08,196125,143325,0,52800,0,0,0,2021-01-07,1,47775,47775,,,,,
59,British Columbia,2021-01-08,71200,50700,0,20500,0,0,0,2021-01-07,1,16575,16575,,,,,
48,Alberta,2021-01-08,59800,42900,0,16900,0,0,0,2021-01-07,1,13650,13650,,,,,
47,Saskatchewan,2021-01-08,17575,12675,0,4900,0,0,0,2021-01-07,1,3900,3900,,,,,
12,Nova Scotia,2021-01-08,13450,9750,0,3700,0,0,0,2021-01-07,1,3900,3900,,,,,
46,Manitoba,2021-01-08,25825,18525,0,7300,0,0,0,2021-01-07,1,5850,5850,,,,,
13,New Brunswick,2021-01-08,11175,8775,0,2400,0,0,0,2021-01-07,1,2925,2925,,,,,
10,Newfoundland and Labrador,2021-01-08,8250,5850,0,2400,0,0,0,2021-01-07,1,1950,1950,,,,,
11,Prince Edward Island,2021-01-08,6075,4875,0,1200,0,0,0,2021-01-07,1,975,975,,,,,
61,Northwest Territories,2021-01-08,7200,0,0,7200,0,0,0,2021-01-07,1,,,,,,,
62,Nunavut,2021-01-08,6000,0,0,6000,0,0,0,2021-01-07,1,,,,,,,
24,Quebec,2021-01-08,115375,82875,0,32500,0,0,0,2021-01-07,1,27300,27300,,,,,
60,Yukon,2021-01-08,7200,0,0,7200,0,0,0,2021-01-07,1,,,,,,,
90,Federal allocation,2021-01-08,3700,0,0,3700,0,0,0,2021-01-07,1,,,,,,,
1,Canada,2021-01-09,548950,380250,0,168700,0,0,0,2021-01-07,0,,,,,,,
35,Ontario,2021-01-09,196125,143325,0,52800,0,0,0,2021-01-07,0,,,,,,,
59,British Columbia,2021-01-09,71200,50700,0,20500,0,0,0,2021-01-07,0,,,,,,,
48,Alberta,2021-01-09,59800,42900,0,16900,0,0,0,2021-01-07,0,,,,,,,
47,Saskatchewan,2021-01-09,17575,12675,0,4900,0,0,0,2021-01-07,0,,,,,,,
12,Nova Scotia,2021-01-09,13450,9750,0,3700,0,0,0,2021-01-07,0,,,,,,,
46,Manitoba,2021-01-09,25825,18525,0,7300,0,0,0,2021-01-07,0,,,,,,,
13,New Brunswick,2021-01-09,11175,8775,0,2400,0,0,0,2021-01-07,0,,,,,,,
10,Newfoundland and Labrador,2021-01-09,8250,5850,0,2400,0,0,0,2021-01-07,0,,,,,,,
11,Prince Edward Island,2021-01-09,6075,4875,0,1200,0,0,0,2021-01-07,0,,,,,,,
61,Northwest Territories,2021-01-09,7200,0,0,7200,0,0,0,2021-01-07,0,,,,,,,
62,Nunavut,2021-01-09,6000,0,0,6000,0,0,0,2021-01-07,0,,,,,,,
24,Quebec,2021-01-09,115375,82875,0,32500,0,0,0,2021-01-07,0,,,,,,,
60,Yukon,2021-01-09,7200,0,0,7200,0,0,0,2021-01-07,0,,,,,,,
90,Federal allocation,2021-01-09,3700,0,0,3700,0,0,0,2021-01-07,0,,,,,,,
1,Canada,2021-01-10,548950,380250,0,168700,0,0,0,2021-01-07,0,,,,,,,
35,Ontario,2021-01-10,196125,143325,0,52800,0,0,0,2021-01-07,0,,,,,,,
59,British Columbia,2021-01-10,71200,50700,0,20500,0,0,0,2021-01-07,0,,,,,,,
48,Alberta,2021-01-10,59800,42900,0,16900,0,0,0,2021-01-07,0,,,,,,,
47,Saskatchewan,2021-01-10,17575,12675,0,4900,0,0,0,2021-01-07,0,,,,,,,
12,Nova Scotia,2021-01-10,13450,9750,0,3700,0,0,0,2021-01-07,0,,,,,,,
46,Manitoba,2021-01-10,25825,18525,0,7300,0,0,0,2021-01-07,0,,,,,,,
13,New Brunswick,2021-01-10,11175,8775,0,2400,0,0,0,2021-01-07,0,,,,,,,
10,Newfoundland and Labrador,2021-01-10,8250,5850,0,2400,0,0,0,2021-01-07,0,,,,,,,
11,Prince Edward Island,2021-01-10,6075,4875,0,1200,0,0,0,2021-01-07,0,,,,,,,
61,Northwest Territories,2021-01-10,7200,0,0,7200,0,0,0,2021-01-07,0,,,,,,,
62,Nunavut,2021-01-10,6000,0,0,6000,0,0,0,2021-01-07,0,,,,,,,
24,Quebec,2021-01-10,115375,82875,0,32500,0,0,0,2021-01-07,0,,,,,,,
60,Yukon,2021-01-10,7200,0,0,7200,0,0,0,2021-01-07,0,,,,,,,
90,Federal allocation,2021-01-10,3700,0,0,3700,0,0,0,2021-01-07,0,,,,,,,
1,Canada,2021-01-11,548950,380250,0,168700,0,0,0,2021-01-07,0,,,,,,,
35,Ontario,2021-01-11,196025,143325,0,52700,0,0,0,2021-01-07,0,-100,,,-100,,,
59,British Columbia,2021-01-11,71200,50700,0,20500,0,0,0,2021-01-07,0,,,,,,,
48,Alberta,2021-01-11,59800,42900,0,16900,0,0,0,2021-01-07,0,,,,,,,
47,Saskatchewan,2021-01-11,17575,12675,0,4900,0,0,0,2021-01-07,0,,,,,,,
12,Nova Scotia,2021-01-11,13450,9750,0,3700,0,0,0,2021-01-07,0,,,,,,,
46,Manitoba,2021-01-11,25825,18525,0,7300,0,0,0,2021-01-07,0,,,,,,,
13,New Brunswick,2021-01-11,11175,8775,0,2400,0,0,0,2021-01-07,0,,,,,,,
10,Newfoundland and Labrador,2021-01-11,8250,5850,0,2400,0,0,0,2021-01-07,0,,,,,,,
11,Prince Edward Island,2021-01-11,6075,4875,0,1200,0,0,0,2021-01-07,0,,,,,,,
61,Northwest Territories,2021-01-11,7200,0,0,7200,0,0,0,2021-01-07,0,,,,,,,
62,Nunavut,2021-01-11,6000,0,0,6000,0,0,0,2021-01-07,0,,,,,,,
24,Quebec,2021-01-11,115375,82875,0,32500,0,0,0,2021-01-07,0,,,,,,,
60,Yukon,2021-01-11,7200,0,0,7200,0,0,0,2021-01-07,0,,,,,,,
90,Federal allocation,2021-01-11,3600,0,0,3600,0,0,0,2021-01-07,0,-100,,,-100,,,
1,Canada,2021-01-12,548950,380250,0,168700,0,0,0,2021-01-07,0,,,,,,,
35,Ontario,2021-01-12,196025,143325,0,52700,0,0,0,2021-01-07,0,,,,,,,
59,British Columbia,2021-01-12,71200,50700,0,20500,0,0,0,2021-01-07,0,,,,,,,
48,Alberta,2021-01-12,59800,42900,0,16900,0,0,0,2021-01-07,0,,,,,,,
47,Saskatchewan,2021-01-12,17575,12675,0,4900,0,0,0,2021-01-07,0,,,,,,,
12,Nova Scotia,2021-01-12,13450,9750,0,3700,0,0,0,2021-01-07,0,,,,,,,
46,Manitoba,2021-01-12,25825,18525,0,7300,0,0,0,2021-01-07,0,,,,,,,
13,New Brunswick,2021-01-12,11175,8775,0,2400,0,0,0,2021-01-07,0,,,,,,,
10,Newfoundland and Labrador,2021-01-12,8250,5850,0,2400,0,0,0,2021-01-07,0,,,,,,,
11,Prince Edward Island,2021-01-12,6075,4875,0,1200,0,0,0,2021-01-07,0,,,,,,,
61,Northwest Territories,2021-01-12,7200,0,0,7200,0,0,0,2021-01-07,0,,,,,,,
62,Nunavut,2021-01-12,6000,0,0,6000,0,0,0,2021-01-07,0,,,,,,,
24,Quebec,2021-01-12,115375,82875,0,32500,0,0,0,2021-01-07,0,,,,,,,
60,Yukon,2021-01-12,7200,0,0,7200,0,0,0,2021-01-07,0,,,,,,,
90,Federal allocation,2021-01-12,3600,0,0,3600,0,0,0,2021-01-07,0,,,,,,,
1,Canada,2021-01-13,548950,380250,0,168700,0,0,0,2021-01-07,0,,,,,,,
35,Ontario,2021-01-13,196025,143325,0,52700,0,0,0,2021-01-07,0,,,,,,,
59,British Columbia,2021-01-13,71200,50700,0,20500,0,0,0,2021-01-07,0,,,,,,,
48,Alberta,2021-01-13,59800,42900,0,16900,0,0,0,2021-01-07,0,,,,,,,
47,Saskatchewan,2021-01-13,17575,12675,0,4900,0,0,0,2021-01-07,0,,,,,,,
12,Nova Scotia,2021-01-13,13450,9750,0,3700,0,0,0,2021-01-07,0,,,,,,,
46,Manitoba,2021-01-13,25825,18525,0,7300,0,0,0,2021-01-07,0,,,,,,,
13,New Brunswick,2021-01-13,11175,8775,0,2400,0,0,0,2021-01-07,0,,,,,,,
10,Newfoundland and Labrador,2021-01-13,8250,5850,0,2400,0,0,0,2021-01-07,0,,,,,,,
11,Prince Edward Island,2021-01-13,6075,4875,0,1200,0,0,0,2021-01-07,0,,,,,,,
61,Northwest Territories,2021-01-13,7200,0,0,7200,0,0,0,2021-01-07,0,,,,,,,
62,Nunavut,2021-01-13,6000,0,0,6000,0,0,0,2021-01-07,0,,,,,,,
24,Quebec,2021-01-13,115375,82875,0,32500,0,0,0,2021-01-07,0,,,,,,,
60,Yukon,2021-01-13,7200,0,0,7200,0,0,0,2021-01-07,0,,,,,,,
90,Federal allocation,2021-01-13,3600,0,0,3600,0,0,0,2021-01-07,0,,,,,,,
1,Canada,2021-01-14,548950,380250,0,168700,0,0,0,2021-01-07,0,,,,,,,
35,Ontario,2021-01-14,196025,143325,0,52700,0,0,0,2021-01-07,0,,,,,,,
59,British Columbia,2021-01-14,71200,50700,0,20500,0,0,0,2021-01-07,0,,,,,,,
48,Alberta,2021-01-14,59800,42900,0,16900,0,0,0,2021-01-07,0,,,,,,,
47,Saskatchewan,2021-01-14,17575,12675,0,4900,0,0,0,2021-01-07,0,,,,,,,
12,Nova Scotia,2021-01-14,13450,9750,0,3700,0,0,0,2021-01-07,0,,,,,,,
46,Manitoba,2021-01-14,25825,18525,0,7300,0,0,0,2021-01-07,0,,,,,,,
13,New Brunswick,2021-01-14,11175,8775,0,2400,0,0,0,2021-01-07,0,,,,,,,
10,Newfoundland and Labrador,2021-01-14,8250,5850,0,2400,0,0,0,2021-01-07,0,,,,,,,
11,Prince Edward Island,2021-01-14,6075,4875,0,1200,0,0,0,2021-01-07,0,,,,,,,
61,Northwest Territories,2021-01-14,7200,0,0,7200,0,0,0,2021-01-07,0,,,,,,,
62,Nunavut,2021-01-14,6000,0,0,6000,0,0,0,2021-01-07,0,,,,,,,
24,Quebec,2021-01-14,115375,82875,0,32500,0,0,0,2021-01-07,0,,,,,,,
60,Yukon,2021-01-14,7200,0,0,7200,0,0,0,2021-01-07,0,,,,,,,
90,Federal allocation,2021-01-14,3600,0,0,3600,0,0,0,2021-01-07,0,,,,,,,
1,Canada,2021-01-15,765100,588900,0,176200,0,0,0,2021-01-14,1,216150,208650,,7500,,,
35,Ontario,2021-01-15,277050,224250,0,52800,0,0,0,2021-01-14,1,81025,80925,,100,,,
59,British Columbia,2021-01-15,99475,78975,0,20500,0,0,0,2021-01-14,1,28275,28275,,,,,
48,Alberta,2021-01-15,84175,67275,0,16900,0,0,0,2021-01-14,1,24375,24375,,,,,
47,Saskatchewan,2021-01-15,24400,19500,0,4900,0,0,0,2021-01-14,1,6825,6825,,,,,
12,Nova Scotia,2021-01-15,23000,15600,0,7400,0,0,0,2021-01-14,1,9550,5850,,3700,,,
46,Manitoba,2021-01-15,33625,26325,0,7300,0,0,0,2021-01-14,1,7800,7800,,,,,
13,New Brunswick,2021-01-15,17775,12675,0,5100,0,0,0,2021-01-14,1,6600,3900,,2700,,,
10,Newfoundland and Labrador,2021-01-15,11175,8775,0,2400,0,0,0,2021-01-14,1,2925,2925,,,,,
11,Prince Edward Island,2021-01-15,8250,5850,0,2400,0,0,0,2021-01-14,1,2175,975,,1200,,,
61,Northwest Territories,2021-01-15,7200,0,0,7200,0,0,0,2021-01-14,1,,,,,,,
62,Nunavut,2021-01-15,6000,0,0,6000,0,0,0,2021-01-14,1,,,,,,,
24,Quebec,2021-01-15,162175,129675,0,32500,0,0,0,2021-01-14,1,46800,46800,,,,,
60,Yukon,2021-01-15,7200,0,0,7200,0,0,0,2021-01-14,1,,,,,,,
90,Federal allocation,2021-01-15,3600,0,0,3600,0,0,0,2021-01-14,1,,,,,,,
1,Canada,2021-01-16,765100,588900,0,176200,0,0,0,2021-01-14,0,,,,,,,
35,Ontario,2021-01-16,277050,224250,0,52800,0,0,0,2021-01-14,0,,,,,,,
59,British Columbia,2021-01-16,99475,78975,0,20500,0,0,0,2021-01-14,0,,,,,,,
48,Alberta,2021-01-16,84175,67275,0,16900,0,0,0,2021-01-14,0,,,,,,,
47,Saskatchewan,2021-01-16,24400,19500,0,4900,0,0,0,2021-01-14,0,,,,,,,
12,Nova Scotia,2021-01-16,23000,15600,0,7400,0,0,0,2021-01-14,0,,,,,,,
46,Manitoba,2021-01-16,33625,26325,0,7300,0,0,0,2021-01-14,0,,,,,,,
13,New Brunswick,2021-01-16,17775,12675,0,5100,0,0,0,2021-01-14,0,,,,,,,
10,Newfoundland and Labrador,2021-01-16,11175,8775,0,2400,0,0,0,2021-01-14,0,,,,,,,
11,Prince Edward Island,2021-01-16,8250,5850,0,2400,0,0,0,2021-01-14,0,,,,,,,
61,Northwest Territories,2021-01-16,7200,0,0,7200,0,0,0,2021-01-14,0,,,,,,,
62,Nunavut,2021-01-16,6000,0,0,6000,0,0,0,2021-01-14,0,,,,,,,
24,Quebec,2021-01-16,162175,129675,0,32500,0,0,0,2021-01-14,0,,,,,,,
60,Yukon,2021-01-16,7200,0,0,7200,0,0,0,2021-01-14,0,,,,,,,
90,Federal allocation,2021-01-16,3600,0,0,3600,0,0,0,2021-01-14,0,,,,,,,
1,Canada,2021-01-17,765100,588900,0,176200,0,0,0,2021-01-14,0,,,,,,,
35,Ontario,2021-01-17,277050,224250,0,52800,0,0,0,2021-01-14,0,,,,,,,
59,British Columbia,2021-01-17,99475,78975,0,20500,0,0,0,2021-01-14,0,,,,,,,
48,Alberta,2021-01-17,84175,67275,0,16900,0,0,0,2021-01-14,0,,,,,,,
47,Saskatchewan,2021-01-17,24400,19500,0,4900,0,0,0,2021-01-14,0,,,,,,,
12,Nova Scotia,2021-01-17,23000,15600,0,7400,0,0,0,2021-01-14,0,,,,,,,
46,Manitoba,2021-01-17,33625,26325,0,7300,0,0,0,2021-01-14,0,,,,,,,
13,New Brunswick,2021-01-17,17775,12675,0,5100,0,0,0,2021-01-14,0,,,,,,,
10,Newfoundland and Labrador,2021-01-17,11175,8775,0,2400,0,0,0,2021-01-14,0,,,,,,,
11,Prince Edward Island,2021-01-17,8250,5850,0,2400,0,0,0,2021-01-14,0,,,,,,,
61,Northwest Territories,2021-01-17,7200,0,0,7200,0,0,0,2021-01-14,0,,,,,,,
62,Nunavut,2021-01-17,6000,0,0,6000,0,0,0,2021-01-14,0,,,,,,,
24,Quebec,2021-01-17,162175,129675,0,32500,0,0,0,2021-01-14,0,,,,,,,
60,Yukon,2021-01-17,7200,0,0,7200,0,0,0,2021-01-14,0,,,,,,,
90,Federal allocation,2021-01-17,3600,0,0,3600,0,0,0,2021-01-14,0,,,,,,,
1,Canada,2021-01-18,765100,588900,0,176200,0,0,0,2021-01-14,0,,,,,,,
35,Ontario,2021-01-18,277050,224250,0,52800,0,0,0,2021-01-14,0,,,,,,,
59,British Columbia,2021-01-18,99475,78975,0,20500,0,0,0,2021-01-14,0,,,,,,,
48,Alberta,2021-01-18,84175,67275,0,16900,0,0,0,2021-01-14,0,,,,,,,
47,Saskatchewan,2021-01-18,24400,19500,0,4900,0,0,0,2021-01-14,0,,,,,,,
12,Nova Scotia,2021-01-18,23000,15600,0,7400,0,0,0,2021-01-14,0,,,,,,,
46,Manitoba,2021-01-18,33625,26325,0,7300,0,0,0,2021-01-14,0,,,,,,,
13,New Brunswick,2021-01-18,17775,12675,0,5100,0,0,0,2021-01-14,0,,,,,,,
10,Newfoundland and Labrador,2021-01-18,11175,8775,0,2400,0,0,0,2021-01-14,0,,,,,,,
11,Prince Edward Island,2021-01-18,8250,5850,0,2400,0,0,0,2021-01-14,0,,,,,,,
61,Northwest Territories,2021-01-18,7200,0,0,7200,0,0,0,2021-01-14,0,,,,,,,
62,Nunavut,2021-01-18,6000,0,0,6000,0,0,0,2021-01-14,0,,,,,,,
24,Quebec,2021-01-18,162175,129675,0,32500,0,0,0,2021-01-14,0,,,,,,,
60,Yukon,2021-01-18,7200,0,0,7200,0,0,0,2021-01-14,0,,,,,,,
90,Federal allocation,2021-01-18,3600,0,0,3600,0,0,0,2021-01-14,0,,,,,,,
1,Canada,2021-01-19,765100,588900,0,176200,0,0,0,2021-01-14,0,,,,,,,
35,Ontario,2021-01-19,277050,224250,0,52800,0,0,0,2021-01-14,0,,,,,,,
59,British Columbia,2021-01-19,99475,78975,0,20500,0,0,0,2021-01-14,0,,,,,,,
48,Alberta,2021-01-19,84175,67275,0,16900,0,0,0,2021-01-14,0,,,,,,,
47,Saskatchewan,2021-01-19,24400,19500,0,4900,0,0,0,2021-01-14,0,,,,,,,
12,Nova Scotia,2021-01-19,23000,15600,0,7400,0,0,0,2021-01-14,0,,,,,,,
46,Manitoba,2021-01-19,33625,26325,0,7300,0,0,0,2021-01-14,0,,,,,,,
13,New Brunswick,2021-01-19,17775,12675,0,5100,0,0,0,2021-01-14,0,,,,,,,
10,Newfoundland and Labrador,2021-01-19,11175,8775,0,2400,0,0,0,2021-01-14,0,,,,,,,
11,Prince Edward Island,2021-01-19,8250,5850,0,2400,0,0,0,2021-01-14,0,,,,,,,
61,Northwest Territories,2021-01-19,7200,0,0,7200,0,0,0,2021-01-14,0,,,,,,,
62,Nunavut,2021-01-19,6000,0,0,6000,0,0,0,2021-01-14,0,,,,,,,
24,Quebec,2021-01-19,162175,129675,0,32500,0,0,0,2021-01-14,0,,,,,,,
60,Yukon,2021-01-19,7200,0,0,7200,0,0,0,2021-01-14,0,,,,,,,
90,Federal allocation,2021-01-19,3600,0,0,3600,0,0,0,2021-01-14,0,,,,,,,
1,Canada,2021-01-20,765100,588900,0,176200,0,0,0,2021-01-14,0,,,,,,,
35,Ontario,2021-01-20,277050,224250,0,52800,0,0,0,2021-01-14,0,,,,,,,
59,British Columbia,2021-01-20,99475,78975,0,20500,0,0,0,2021-01-14,0,,,,,,,
48,Alberta,2021-01-20,84175,67275,0,16900,0,0,0,2021-01-14,0,,,,,,,
47,Saskatchewan,2021-01-20,24400,19500,0,4900,0,0,0,2021-01-14,0,,,,,,,
12,Nova Scotia,2021-01-20,23000,15600,0,7400,0,0,0,2021-01-14,0,,,,,,,
46,Manitoba,2021-01-20,33625,26325,0,7300,0,0,0,2021-01-14,0,,,,,,,
13,New Brunswick,2021-01-20,17775,12675,0,5100,0,0,0,2021-01-14,0,,,,,,,
10,Newfoundland and Labrador,2021-01-20,11175,8775,0,2400,0,0,0,2021-01-14,0,,,,,,,
11,Prince Edward Island,2021-01-20,8250,5850,0,2400,0,0,0,2021-01-14,0,,,,,,,
61,Northwest Territories,2021-01-20,7200,0,0,7200,0,0,0,2021-01-14,0,,,,,,,
